customer_id,first_name,last_name,email,age,gender,city,state,country,favorite_nba_team,favorite_players,wnba_team_interest,merch_purchased,total_spent_usd,purchase_frequency,game_attendance,tv_viewing_hours,social_media_engagement,sports_news_engagement,recommendation_score
error: undefined method `first' for nil:NilClass,Opalina,Delgaty,odelgatya@cyberchimps.com,41,F,Los Angeles,CA,United States,Golden State Warriors,Ben Simmons,,blankets,Dollar,1,7,5.5,34,57,0.66
error: undefined method `first' for nil:NilClass,Lorain,Kaufman,lkaufmanb@ed.gov,37,F,Saint Joseph,MO,United States,Golden State Warriors,Deandre Ayton,Minnesota Lynx,jerseys,Dollar,4,0,7.3,89,46,0.74
error: undefined method `first' for nil:NilClass,Garfield,Wardroper,gwardroperc@wisc.edu,56,M,Washington,DC,United States,Toronto Raptors,Chris Paul,Atlanta Dream,blankets,Dollar,4,6,5.1,84,51,0.5
error: undefined method `first' for nil:NilClass,Leora,Groves,lgrovesd@businesswire.com,75,F,Saint Louis,MO,United States,Chicago Bulls,Brandon Ingram,Washington Mystics,hats,Dollar,4,7,4.3,44,52,0.52
error: undefined method `first' for nil:NilClass,Patsy,Orsman,porsmane@bloglines.com,29,M,Atlanta,GA,United States,Dallas Mavericks,Deandre Ayton,Los Angeles Sparks,sweatshirts,Dollar,2,5,6.9,64,51,0.48
error: undefined method `first' for nil:NilClass,Cornelius,Leavens,cleavensf@hao123.com,61,M,Wilmington,DE,United States,Dallas Mavericks,Karl-Anthony Towns,,backpacks,Dollar,0,0,10.5,61,52,0.54
error: undefined method `first' for nil:NilClass,Barnard,Martello,bmartellog@oracle.com,80,M,Portland,OR,United States,Golden State Warriors,Joel Embiid,,jerseys,Dollar,3,2,8.2,65,60,0.48
error: undefined method `first' for nil:NilClass,Dreddy,Jeffry,djeffryh@jiathis.com,76,F,Chicago,IL,United States,Los Angeles Lakers,Deandre Ayton,Dallas Wings,jerseys,Dollar,4,8,8.6,78,50,0.35
error: undefined method `first' for nil:NilClass,Myrtie,Samsworth,msamsworthi@issuu.com,52,F,Detroit,MI,United States,Golden State Warriors,De'Aaron Fox,Seattle Storm,posters,Dollar,6,2,8.3,82,56,0.72
error: undefined method `first' for nil:NilClass,Taryn,Grainge,tgraingej@google.de,46,F,Albany,NY,United States,Los Angeles Lakers,Kristaps Porzingis,Seattle Storm,hats,Dollar,6,7,10.2,57,41,0.41
error: undefined method `first' for nil:NilClass,Liane,Dmych,ldmychk@github.com,52,F,Denver,CO,United States,Los Angeles Lakers,Giannis Antetokounmpo,Washington Mystics,jerseys,Dollar,0,5,4.5,78,78,0.75
error: undefined method `first' for nil:NilClass,Netti,Lorinez,nlorinezl@webnode.com,62,F,Modesto,CA,United States,Golden State Warriors,Trae Young,Washington Mystics,keychains,Dollar,2,1,4.4,78,59,0.61
error: undefined method `first' for nil:NilClass,Salomi,Uttridge,suttridgem@yale.edu,59,F,Colorado Springs,CO,United States,Los Angeles Lakers,DeMar DeRozan,Chicago Sky,posters,Dollar,1,0,7.9,78,71,0.72
error: undefined method `first' for nil:NilClass,Letti,Faivre,lfaivren@acquirethisname.com,69,F,Fort Myers,FL,United States,Golden State Warriors,D'Angelo Russell,Los Angeles Sparks,socks,Dollar,4,1,11.5,63,49,0.55
error: undefined method `first' for nil:NilClass,Rollin,Etchingham,retchinghamo@irs.gov,42,M,Buffalo,NY,United States,Golden State Warriors,Domantas Sabonis,Chicago Sky,blankets,Dollar,0,8,6.7,30,43,0.77
error: undefined method `first' for nil:NilClass,Brinn,Delap,bdelapp@hibu.com,20,F,Kansas City,MO,United States,Philadelphia 76ers,Kawhi Leonard,Washington Mystics,posters,Dollar,6,5,8.1,57,72,0.44
error: undefined method `first' for nil:NilClass,Christine,Buxton,cbuxtonq@wikipedia.org,66,F,Los Angeles,CA,United States,Miami Heat,Dejounte Murray,Washington Mystics,jerseys,Dollar,5,2,5.2,45,48,0.52
error: undefined method `first' for nil:NilClass,Kalil,Cowx,kcowxr@mozilla.com,21,M,Oakland,CA,United States,Chicago Bulls,De'Aaron Fox,Los Angeles Sparks,phone cases,Dollar,5,5,7.1,52,40,0.68
error: undefined method `first' for nil:NilClass,Tannie,Currey,tcurreys@hud.gov,69,M,Englewood,CO,United States,Boston Celtics,Brandon Ingram,Las Vegas Aces,phone cases,Dollar,1,0,7.9,47,41,0.72
error: undefined method `first' for nil:NilClass,Kippie,Hoffmann,khoffmannt@cdc.gov,76,M,Tampa,FL,United States,Dallas Mavericks,John Collins,Phoenix Mercury,backpacks,Dollar,4,8,6.6,90,59,0.37
error: undefined method `first' for nil:NilClass,Adah,Care,acareu@hhs.gov,54,F,Norfolk,VA,United States,Dallas Mavericks,Pascal Siakam,Chicago Sky,backpacks,Dollar,6,1,11.9,34,70,0.41
error: undefined method `first' for nil:NilClass,Donalt,Greenard,dgreenardv@unicef.org,61,M,Largo,FL,United States,Los Angeles Lakers,Julius Randle,,water bottles,Dollar,4,2,10.9,73,72,0.6
error: undefined method `first' for nil:NilClass,Coleen,Holstein,cholsteinw@fotki.com,67,F,Las Vegas,NV,United States,Miami Heat,Joel Embiid,Phoenix Mercury,water bottles,Dollar,4,4,8.4,45,49,0.56
error: undefined method `first' for nil:NilClass,Maryrose,Mulhill,mmulhillx@tripadvisor.com,57,F,Las Vegas,NV,United States,Boston Celtics,Julius Randle,,sweatshirts,Dollar,1,1,10.2,65,76,0.41
error: undefined method `first' for nil:NilClass,Tobey,Heinzler,theinzlery@people.com.cn,63,F,Columbia,SC,United States,Chicago Bulls,Bradley Beal,Los Angeles Sparks,posters,Dollar,2,5,8.7,51,71,0.45
error: undefined method `first' for nil:NilClass,Gene,Menichino,gmenichinoz@mashable.com,77,M,South Bend,IN,United States,Philadelphia 76ers,Zach LaVine,Las Vegas Aces,blankets,Dollar,4,1,5.4,70,76,0.78
error: undefined method `first' for nil:NilClass,Justine,Crat,jcrat10@canalblog.com,18,F,Billings,MT,United States,Los Angeles Lakers,Kristaps Porzingis,Washington Mystics,sweatshirts,Dollar,6,8,9.2,38,62,0.32
error: undefined method `first' for nil:NilClass,Farleigh,MacDougall,fmacdougall11@trellian.com,69,M,Houston,TX,United States,Golden State Warriors,Tobias Harris,,jerseys,Dollar,0,4,11.6,41,80,0.6
error: undefined method `first' for nil:NilClass,Kordula,Ottley,kottley12@home.pl,38,F,Hartford,CT,United States,Boston Celtics,Kyle Lowry,Las Vegas Aces,socks,Dollar,4,2,5.6,71,80,0.51
error: undefined method `first' for nil:NilClass,Dolley,Broggini,dbroggini13@last.fm,34,F,Los Angeles,CA,United States,Chicago Bulls,Kyrie Irving,Las Vegas Aces,keychains,Dollar,6,5,10.4,65,55,0.79
error: undefined method `first' for nil:NilClass,Ozzy,Dawtrey,odawtrey14@ask.com,74,M,San Antonio,TX,United States,Los Angeles Lakers,Klay Thompson,Seattle Storm,jerseys,Dollar,3,4,10.4,39,43,0.58
error: undefined method `first' for nil:NilClass,Lu,Cormack,lcormack15@nhs.uk,35,F,Phoenix,AZ,United States,Los Angeles Lakers,Kyle Lowry,Los Angeles Sparks,keychains,Dollar,2,8,8.2,67,59,0.42
error: undefined method `first' for nil:NilClass,Isiahi,Grogono,igrogono16@mysql.com,69,M,Raleigh,NC,United States,Dallas Mavericks,Jamal Murray,New York Liberty,hats,Dollar,6,8,9.6,81,63,0.76
error: undefined method `first' for nil:NilClass,Harland,Livingstone,hlivingstone17@addtoany.com,61,M,Phoenix,AZ,United States,Denver Nuggets,Russell Westbrook,Seattle Storm,keychains,Dollar,1,7,10.1,71,57,0.67
error: undefined method `first' for nil:NilClass,Galina,Elleyne,gelleyne18@fda.gov,40,F,Virginia Beach,VA,United States,Houston Rockets,Jamal Murray,,sweatshirts,Dollar,6,6,4.7,53,77,0.55
error: undefined method `first' for nil:NilClass,Sarah,Blewmen,sblewmen19@1und1.de,26,F,Topeka,KS,United States,Philadelphia 76ers,Kyle Lowry,Dallas Wings,water bottles,Dollar,4,5,10.5,33,48,0.64
error: undefined method `first' for nil:NilClass,Quintilla,Togwell,qtogwell1a@amazon.co.uk,60,F,Vancouver,WA,United States,Los Angeles Lakers,Stephen Curry,New York Liberty,blankets,Dollar,5,2,7.9,50,74,0.61
error: undefined method `first' for nil:NilClass,Denna,Merriment,dmerriment1b@webmd.com,56,F,Fort Smith,AR,United States,Golden State Warriors,DeMar DeRozan,,blankets,Dollar,0,3,5.6,69,64,0.51
error: undefined method `first' for nil:NilClass,Michal,Biggerstaff,mbiggerstaff1c@nytimes.com,77,M,Atlanta,GA,United States,Dallas Mavericks,Myles Turner,Los Angeles Sparks,hats,Dollar,5,3,8.9,75,62,0.4
error: undefined method `first' for nil:NilClass,Alli,Bottini,abottini1d@nifty.com,44,F,Schenectady,NY,United States,Denver Nuggets,LeBron James,,socks,Dollar,0,6,6.8,82,55,0.73
error: undefined method `first' for nil:NilClass,Mae,Python,mpython1e@multiply.com,64,F,Saint Joseph,MO,United States,Golden State Warriors,Julius Randle,,sweatshirts,Dollar,6,8,7.9,60,59,0.67
error: undefined method `first' for nil:NilClass,Gar,Daniaud,gdaniaud1f@accuweather.com,26,M,Washington,DC,United States,Houston Rockets,Kyrie Irving,Minnesota Lynx,keychains,Dollar,3,2,6.4,82,80,0.37
error: undefined method `first' for nil:NilClass,Nealson,MacClenan,nmacclenan1g@t.co,76,M,Houston,TX,United States,Toronto Raptors,Zion Williamson,Dallas Wings,keychains,Dollar,6,3,8.9,56,52,0.66
error: undefined method `first' for nil:NilClass,Donielle,Rossander,drossander1h@mayoclinic.com,30,F,Tucson,AZ,United States,Dallas Mavericks,Stephen Curry,,phone cases,Dollar,3,1,8.5,50,68,0.76
error: undefined method `first' for nil:NilClass,Zach,Swannack,zswannack1i@networkadvertising.org,60,M,Roanoke,VA,United States,Los Angeles Lakers,CJ McCollum,,water bottles,Dollar,4,1,6.3,77,65,0.44
error: undefined method `first' for nil:NilClass,Rozanne,Brasseur,rbrasseur1j@alibaba.com,44,F,Bozeman,MT,United States,Miami Heat,Russell Westbrook,Los Angeles Sparks,sweatshirts,Dollar,4,7,5.0,40,64,0.79
error: undefined method `first' for nil:NilClass,Myriam,Saltsberger,msaltsberger1k@ed.gov,49,F,Kansas City,MO,United States,Houston Rockets,Shai Gilgeous-Alexander,,backpacks,Dollar,1,2,6.5,35,77,0.53
error: undefined method `first' for nil:NilClass,Maitilde,Valentin,mvalentin1l@i2i.jp,49,F,Shawnee Mission,KS,United States,Boston Celtics,Tobias Harris,Chicago Sky,socks,Dollar,4,8,4.7,37,73,0.74
error: undefined method `first' for nil:NilClass,Tyne,Finnemore,tfinnemore1m@loc.gov,47,F,Knoxville,TN,United States,Boston Celtics,Donovan Mitchell,Seattle Storm,phone cases,Dollar,5,6,9.9,79,60,0.39
error: undefined method `first' for nil:NilClass,Katie,Blodg,kblodg1n@netvibes.com,23,F,Chicago,IL,United States,Golden State Warriors,Giannis Antetokounmpo,Las Vegas Aces,socks,Dollar,0,8,7.6,86,73,0.61
error: undefined method `first' for nil:NilClass,Bird,Mynott,bmynott1o@microsoft.com,20,F,Orange,CA,United States,Dallas Mavericks,Karl-Anthony Towns,Las Vegas Aces,sweatshirts,Dollar,2,1,7.9,30,41,0.73
error: undefined method `first' for nil:NilClass,Feodor,Wane,fwane1p@weibo.com,37,M,El Paso,TX,United States,Miami Heat,Dejounte Murray,Las Vegas Aces,backpacks,Dollar,3,7,5.5,78,54,0.67
error: undefined method `first' for nil:NilClass,Abraham,Madine,amadine1q@mayoclinic.com,74,M,Montgomery,AL,United States,Boston Celtics,Kyle Lowry,Washington Mystics,water bottles,Dollar,2,6,5.6,42,53,0.45
error: undefined method `first' for nil:NilClass,Olenolin,Jinkin,ojinkin1r@ask.com,72,M,Whittier,CA,United States,Miami Heat,John Collins,Dallas Wings,blankets,Dollar,1,7,4.0,64,75,0.67
error: undefined method `first' for nil:NilClass,Berty,Tommaseo,btommaseo1s@ca.gov,49,M,Brockton,MA,United States,Toronto Raptors,Jaylen Brown,Dallas Wings,posters,Dollar,5,8,8.7,75,42,0.8
error: undefined method `first' for nil:NilClass,Rawley,Marshall,rmarshall1t@webs.com,61,M,San Francisco,CA,United States,Dallas Mavericks,Kawhi Leonard,Phoenix Mercury,phone cases,Dollar,5,3,10.1,72,77,0.74
error: undefined method `first' for nil:NilClass,Hoyt,Penylton,hpenylton1u@de.vu,79,M,Boston,MA,United States,Chicago Bulls,Chris Paul,Las Vegas Aces,backpacks,Dollar,6,2,7.4,90,43,0.38
error: undefined method `first' for nil:NilClass,Yance,Eliff,yeliff1v@npr.org,47,M,Omaha,NE,United States,Houston Rockets,Paul George,Minnesota Lynx,posters,Dollar,6,4,10.7,82,69,0.79
error: undefined method `first' for nil:NilClass,Pier,Lagne,plagne1w@arstechnica.com,24,F,Denton,TX,United States,Golden State Warriors,Donovan Mitchell,Washington Mystics,water bottles,Dollar,6,0,6.9,83,64,0.54
error: undefined method `first' for nil:NilClass,Zebulon,O'Cahsedy,zocahsedy1x@barnesandnoble.com,37,M,Tulsa,OK,United States,Los Angeles Lakers,Jimmy Butler,,hats,Dollar,5,4,9.1,70,56,0.43
error: undefined method `first' for nil:NilClass,Thalia,Tinkler,ttinkler1y@reference.com,76,F,Austin,TX,United States,Miami Heat,LeBron James,Los Angeles Sparks,backpacks,Dollar,3,6,9.7,67,52,0.34
error: undefined method `first' for nil:NilClass,Tobiah,Cossentine,tcossentine1z@nhs.uk,43,M,Birmingham,AL,United States,Miami Heat,Pascal Siakam,,phone cases,Dollar,3,7,10.3,42,69,0.76
error: undefined method `first' for nil:NilClass,Colet,Earie,cearie20@google.de,76,M,Norfolk,VA,United States,Golden State Warriors,Ben Simmons,Phoenix Mercury,water bottles,Dollar,2,6,4.3,30,42,0.56
error: undefined method `first' for nil:NilClass,Reidar,Wattisham,rwattisham21@tamu.edu,30,M,Boulder,CO,United States,Philadelphia 76ers,Pascal Siakam,New York Liberty,phone cases,Dollar,6,7,4.3,39,59,0.54
error: undefined method `first' for nil:NilClass,Ray,Stones,rstones22@networkadvertising.org,35,F,Portland,OR,United States,Denver Nuggets,Ben Simmons,,jerseys,Dollar,6,8,5.4,35,50,0.41
error: undefined method `first' for nil:NilClass,Fabian,Wilbraham,fwilbraham23@wikia.com,67,M,Virginia Beach,VA,United States,Golden State Warriors,Damian Lillard,,sweatshirts,Dollar,2,7,9.9,67,73,0.37
error: undefined method `first' for nil:NilClass,Simone,Derricoat,sderricoat24@addthis.com,49,F,Springfield,IL,United States,Philadelphia 76ers,Brandon Ingram,Chicago Sky,jerseys,Dollar,0,3,8.0,66,45,0.4
error: undefined method `first' for nil:NilClass,Peter,Trubshaw,ptrubshaw25@woothemes.com,27,M,Corpus Christi,TX,United States,Miami Heat,Devin Booker,Dallas Wings,socks,Dollar,4,4,6.3,83,43,0.7
error: undefined method `first' for nil:NilClass,Gypsy,Redholls,gredholls26@dot.gov,65,F,Bowie,MD,United States,Miami Heat,Myles Turner,,socks,Dollar,1,2,6.8,60,49,0.64
error: undefined method `first' for nil:NilClass,Eugenia,Serris,eserris27@com.com,48,F,Fort Wayne,IN,United States,Miami Heat,John Collins,Washington Mystics,posters,Dollar,3,3,8.3,84,79,0.75
error: undefined method `first' for nil:NilClass,Carlin,Weinmann,cweinmann28@shinystat.com,30,M,Southfield,MI,United States,Chicago Bulls,Donovan Mitchell,Washington Mystics,posters,Dollar,0,1,5.4,51,62,0.32
error: undefined method `first' for nil:NilClass,Lutero,Pinwill,lpinwill29@spotify.com,27,M,Erie,PA,United States,Philadelphia 76ers,Kyrie Irving,Dallas Wings,phone cases,Dollar,1,5,6.2,33,55,0.36
error: undefined method `first' for nil:NilClass,Ina,McGirr,imcgirr2a@acquirethisname.com,68,F,San Jose,CA,United States,Dallas Mavericks,Fred VanVleet,,blankets,Dollar,0,5,10.7,66,69,0.31
error: undefined method `first' for nil:NilClass,Christa,Demangel,cdemangel2b@free.fr,66,F,Raleigh,NC,United States,Los Angeles Lakers,Fred VanVleet,Los Angeles Sparks,sweatshirts,Dollar,2,6,6.9,53,68,0.49
error: undefined method `first' for nil:NilClass,Lila,Snedker,lsnedker2c@about.me,36,F,San Antonio,TX,United States,Golden State Warriors,Kawhi Leonard,,phone cases,Dollar,5,1,5.7,78,63,0.56
error: undefined method `first' for nil:NilClass,Ludovico,Eckh,leckh2d@cam.ac.uk,45,M,Washington,DC,United States,Philadelphia 76ers,Klay Thompson,,sweatshirts,Dollar,4,2,9.0,42,77,0.71
error: undefined method `first' for nil:NilClass,Tyrone,Sandifer,tsandifer2e@123-reg.co.uk,25,M,Cedar Rapids,IA,United States,Chicago Bulls,Zach LaVine,New York Liberty,keychains,Dollar,3,3,4.9,85,45,0.54
error: undefined method `first' for nil:NilClass,Annadiane,MacRedmond,amacredmond2f@123-reg.co.uk,50,F,Garland,TX,United States,Los Angeles Lakers,Fred VanVleet,Seattle Storm,water bottles,Dollar,0,5,7.9,43,74,0.37
error: undefined method `first' for nil:NilClass,Ricca,Clissell,rclissell2g@howstuffworks.com,35,F,Boca Raton,FL,United States,Denver Nuggets,D'Angelo Russell,Los Angeles Sparks,phone cases,Dollar,3,0,9.3,44,48,0.55
error: undefined method `first' for nil:NilClass,Aloisia,Quantrill,aquantrill2h@biglobe.ne.jp,35,F,Shawnee Mission,KS,United States,Boston Celtics,Deandre Ayton,New York Liberty,keychains,Dollar,6,7,6.9,75,76,0.74
error: undefined method `first' for nil:NilClass,Kali,Petrelluzzi,kpetrelluzzi2i@cnn.com,74,F,Miami,FL,United States,Los Angeles Lakers,James Harden,New York Liberty,blankets,Dollar,1,6,8.7,66,63,0.71
error: undefined method `first' for nil:NilClass,Fredrick,Hearnden,fhearnden2j@youtu.be,79,M,New Bedford,MA,United States,Dallas Mavericks,LeBron James,Chicago Sky,backpacks,Dollar,5,1,11.4,82,65,0.56
error: undefined method `first' for nil:NilClass,Niki,Gilfillan,ngilfillan2k@unicef.org,24,F,Juneau,AK,United States,Golden State Warriors,Shai Gilgeous-Alexander,New York Liberty,blankets,Dollar,1,6,8.2,90,75,0.55
error: undefined method `first' for nil:NilClass,Quinn,Skuse,qskuse2l@yolasite.com,30,F,Huntsville,TX,United States,Houston Rockets,Jayson Tatum,Seattle Storm,jerseys,Dollar,4,1,8.4,45,66,0.37
error: undefined method `first' for nil:NilClass,Zarla,Gamet,zgamet2m@reverbnation.com,38,F,Clearwater,FL,United States,Chicago Bulls,De'Aaron Fox,Washington Mystics,sweatshirts,Dollar,4,5,5.6,46,48,0.63
error: undefined method `first' for nil:NilClass,Caprice,MacAlister,cmacalister2n@seesaa.net,24,F,Minneapolis,MN,United States,Miami Heat,Shai Gilgeous-Alexander,Las Vegas Aces,hats,Dollar,3,5,5.8,85,66,0.62
error: undefined method `first' for nil:NilClass,Melony,Gircke,mgircke2o@opera.com,70,F,Washington,DC,United States,Chicago Bulls,Ben Simmons,,hats,Dollar,0,6,4.9,55,55,0.45
error: undefined method `first' for nil:NilClass,Susette,Callaby,scallaby2p@nature.com,19,F,Charlotte,NC,United States,Toronto Raptors,D'Angelo Russell,,hats,Dollar,6,7,4.1,80,50,0.79
error: undefined method `first' for nil:NilClass,Hilly,Doig,hdoig2q@mit.edu,48,M,Orlando,FL,United States,Golden State Warriors,CJ McCollum,,backpacks,Dollar,5,6,10.5,56,48,0.31
error: undefined method `first' for nil:NilClass,Marthe,Dimitrov,mdimitrov2r@1und1.de,29,F,Dallas,TX,United States,Miami Heat,Domantas Sabonis,New York Liberty,water bottles,Dollar,6,2,5.4,90,49,0.57
error: undefined method `first' for nil:NilClass,Kennie,Hadenton,khadenton2s@wikispaces.com,77,M,Hartford,CT,United States,Philadelphia 76ers,Jaylen Brown,New York Liberty,socks,Dollar,0,5,9.5,76,56,0.59
error: undefined method `first' for nil:NilClass,Jeramey,Arckoll,jarckoll2t@blogtalkradio.com,30,M,Houston,TX,United States,Houston Rockets,Donovan Mitchell,,water bottles,Dollar,3,8,11.9,89,41,0.33
error: undefined method `first' for nil:NilClass,Karlik,Tolerton,ktolerton2u@virginia.edu,37,M,New York City,NY,United States,Toronto Raptors,Jaylen Brown,,jerseys,Dollar,4,7,9.6,71,76,0.52
error: undefined method `first' for nil:NilClass,Rina,Guidetti,rguidetti2v@addtoany.com,25,F,Corona,CA,United States,Philadelphia 76ers,Rudy Gobert,Chicago Sky,socks,Dollar,3,3,9.0,56,56,0.42
error: undefined method `first' for nil:NilClass,Gerrie,Tuckerman,gtuckerman2w@webnode.com,74,M,Winston Salem,NC,United States,Houston Rockets,LeBron James,,posters,Dollar,0,2,5.4,77,54,0.66
error: undefined method `first' for nil:NilClass,Filberte,Kurdani,fkurdani2x@google.it,41,M,Atlanta,GA,United States,Denver Nuggets,Zion Williamson,Minnesota Lynx,water bottles,Dollar,4,3,4.3,53,50,0.54
error: undefined method `first' for nil:NilClass,Steward,Showalter,sshowalter2y@ning.com,20,M,Ashburn,VA,United States,Houston Rockets,Kyrie Irving,Seattle Storm,sweatshirts,Dollar,5,6,8.4,82,74,0.8
error: undefined method `first' for nil:NilClass,Avivah,Worsnup,aworsnup2z@mlb.com,19,F,Orlando,FL,United States,Golden State Warriors,Zach LaVine,Phoenix Mercury,socks,Dollar,1,5,10.3,67,79,0.54
error: undefined method `first' for nil:NilClass,Helene,McGovern,hmcgovern30@paginegialle.it,20,F,Los Angeles,CA,United States,Philadelphia 76ers,Klay Thompson,,socks,Dollar,0,6,4.9,53,77,0.43
error: undefined method `first' for nil:NilClass,Basilius,Insko,binsko31@google.com.br,35,M,Richmond,VA,United States,Dallas Mavericks,DeMar DeRozan,Atlanta Dream,posters,Dollar,4,4,7.5,52,70,0.4
error: undefined method `first' for nil:NilClass,Marlyn,Blomefield,mblomefield32@apache.org,49,F,Providence,RI,United States,Philadelphia 76ers,Kyle Lowry,Washington Mystics,hats,Dollar,5,3,9.9,45,53,0.78
error: undefined method `first' for nil:NilClass,Alano,Grimster,agrimster33@usa.gov,77,M,Huntington,WV,United States,Chicago Bulls,Karl-Anthony Towns,,sweatshirts,Dollar,1,8,9.0,87,50,0.53
error: undefined method `first' for nil:NilClass,Laurena,Crallan,lcrallan34@godaddy.com,71,F,Harrisburg,PA,United States,Philadelphia 76ers,Jimmy Butler,Los Angeles Sparks,keychains,Dollar,3,8,8.5,66,59,0.75
error: undefined method `first' for nil:NilClass,Kelly,Seadon,kseadon35@nps.gov,25,F,Chattanooga,TN,United States,Philadelphia 76ers,Tobias Harris,,phone cases,Dollar,4,0,6.0,61,63,0.63
error: undefined method `first' for nil:NilClass,Fletch,McNea,fmcnea36@simplemachines.org,51,M,Chesapeake,VA,United States,Dallas Mavericks,Dejounte Murray,,phone cases,Dollar,1,8,11.1,39,47,0.47
error: undefined method `first' for nil:NilClass,Claudetta,Pinar,cpinar37@yellowbook.com,31,F,Grand Rapids,MI,United States,Golden State Warriors,Deandre Ayton,Seattle Storm,keychains,Dollar,1,7,11.3,62,56,0.39
error: undefined method `first' for nil:NilClass,Seline,Round,sround38@yelp.com,50,F,Wichita Falls,TX,United States,Los Angeles Lakers,Bradley Beal,,backpacks,Dollar,2,6,4.6,34,46,0.36
error: undefined method `first' for nil:NilClass,Fabio,Pedracci,fpedracci39@gmpg.org,79,M,Atlanta,GA,United States,Denver Nuggets,Luka Doncic,Atlanta Dream,backpacks,Dollar,3,5,7.8,36,65,0.66
error: undefined method `first' for nil:NilClass,Griz,Antonucci,gantonucci3a@skyrock.com,19,M,Independence,MO,United States,Chicago Bulls,Jayson Tatum,Phoenix Mercury,posters,Dollar,2,6,5.5,36,58,0.38
error: undefined method `first' for nil:NilClass,Cristian,Meers,cmeers3b@seattletimes.com,69,M,Akron,OH,United States,Philadelphia 76ers,Tobias Harris,Atlanta Dream,posters,Dollar,0,6,7.8,86,68,0.53
error: undefined method `first' for nil:NilClass,Mikel,Pulfer,mpulfer3c@adobe.com,29,M,Minneapolis,MN,United States,Philadelphia 76ers,Kyle Lowry,Minnesota Lynx,hats,Dollar,5,5,9.2,73,48,0.66
error: undefined method `first' for nil:NilClass,Darby,Albasiny,dalbasiny3d@goodreads.com,55,M,Shawnee Mission,KS,United States,Los Angeles Lakers,Karl-Anthony Towns,,phone cases,Dollar,3,1,7.5,48,68,0.74
error: undefined method `first' for nil:NilClass,Gardie,Doale,gdoale3e@tripadvisor.com,34,M,Milwaukee,WI,United States,Chicago Bulls,Paul George,Phoenix Mercury,backpacks,Dollar,4,0,6.2,54,49,0.56
error: undefined method `first' for nil:NilClass,Dud,Shotboult,dshotboult3f@vk.com,24,M,Lafayette,LA,United States,Houston Rockets,Trae Young,Dallas Wings,water bottles,Dollar,0,0,5.6,48,66,0.62
error: undefined method `first' for nil:NilClass,Clarabelle,Anton,canton3g@github.io,46,F,Tulsa,OK,United States,Dallas Mavericks,Karl-Anthony Towns,Los Angeles Sparks,phone cases,Dollar,2,7,9.2,86,74,0.71
error: undefined method `first' for nil:NilClass,Babbie,Dyhouse,bdyhouse3h@gmpg.org,45,F,Asheville,NC,United States,Los Angeles Lakers,Ja Morant,Dallas Wings,phone cases,Dollar,6,7,9.1,57,53,0.68
error: undefined method `first' for nil:NilClass,Jacinthe,Yukhnin,jyukhnin3i@wisc.edu,43,F,Canton,OH,United States,Los Angeles Lakers,DeMar DeRozan,Chicago Sky,backpacks,Dollar,3,2,4.6,79,75,0.55
